subject,recording,edge_wake_minutes,n_expert_epochs_before_edge_trim,n_scored_epochs,n_expert_stages,n_edge_wake_epochs_excluded,accuracy,balanced_accuracy_present_stages,macro_recall_5_stages,cohen_kappa,macro_f1
0,1,0,2650,721,5,1929,0.7628294036061026,0.6906403835515398,0.6906403835515398,0.6797453360971275,0.6756958995798068
0,1,30,2650,841,5,1809,0.7847800237812128,0.696898205829387,0.696898205829387,0.7159653234413834,0.7058988335481928
0,1,60,2650,961,5,1689,0.8022892819979188,0.6989291536050156,0.6989291536050156,0.7345751516173487,0.7140647461330574
0,1,all,2650,2650,5,0,0.9237735849056604,0.7131049627733136,0.7131049627733136,0.8126023108064017,0.7310649084176077
1,1,0,2802,983,5,1819,0.8351983723296033,0.8144671948811432,0.8144671948811432,0.7494095042668332,0.7628579715629666
1,1,30,2802,1103,5,1699,0.8368087035358114,0.8369839791813671,0.8369839791813671,0.7690484970238268,0.7990564541219337
1,1,60,2802,1223,5,1579,0.8413736713000818,0.8428797229326606,0.8428797229326606,0.7815345489434542,0.8033381538382868
1,1,all,2802,2802,5,0,0.9147037830121342,0.864443895719913,0.864443895719913,0.8396080723116645,0.8039462199699694
