subject,recording,edge_wake_minutes,n_expert_epochs_before_edge_trim,n_scored_epochs,n_expert_stages,n_edge_wake_epochs_excluded,accuracy,balanced_accuracy_present_stages,macro_recall_5_stages,cohen_kappa,macro_f1
0,1,30,2650,841,5,1809,0.7847800237812128,0.696898205829387,0.696898205829387,0.7159653234413834,0.7058988335481928
1,1,30,2802,1103,5,1699,0.8368087035358114,0.8369839791813671,0.8369839791813671,0.7690484970238268,0.7990564541219337
